q_id,questions,answer,Faithfulness,Answer_Relevancy,Contextual_Recall,Contextual_Precision,Contextual_Relevancy
1,我不想要紙本帳單了，想改用手機收簡訊看水費，要去哪裡登記？,這是針對「我不想要紙本帳單了，想改用手機收簡訊看水費，要去哪裡登記？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
2,家裡的水龍頭打開有一股像游泳池的味道，這是不是水質有問題？,這是針對「家裡的水龍頭打開有一股像游泳池的味道，這是不是水質有問題？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
3,浴室地板看到紅色的線蟲在動，是自來水管裡面爬出來的嗎？會不會生病？,這是針對「浴室地板看到紅色的線蟲在動，是自來水管裡面爬出來的嗎？會不會生病？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
4,水費單已經過期幾天了，還可以直接去7-11繳錢嗎？還是要去水公司？,這是針對「水費單已經過期幾天了，還可以直接去7-11繳錢嗎？還是要去水公司？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
5,水龍頭流出來的水白白的像牛奶一樣，放一下又變透明，是不是有加什麼化學藥劑？,這是針對「水龍頭流出來的水白白的像牛奶一樣，放一下又變透明，是不是有加什麼化學藥劑？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
6,我想同時收到Email的水費單和手機簡訊通知，系統說不行，為什麼？,這是針對「我想同時收到Email的水費單和手機簡訊通知，系統說不行，為什麼？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
7,新家廁所磁磚老是有粉紅色的污漬，是不是水不乾淨？,這是針對「新家廁所磁磚老是有粉紅色的污漬，是不是水不乾淨？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
8,煮開水上面都會浮一層白白的東西，喝這種水會不會得腎結石啊？,這是針對「煮開水上面都會浮一層白白的東西，喝這種水會不會得腎結石啊？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
9,帳單上多了一筆污水處理費，我沒用下水道為什麼要收？,這是針對「帳單上多了一筆污水處理費，我沒用下水道為什麼要收？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
10,我的帳戶錢不夠導致水費沒扣到款，現在該怎麼補繳？,這是針對「我的帳戶錢不夠導致水費沒扣到款，現在該怎麼補繳？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
11,剛買了二手屋，水費單的名字還是前屋主，要怎麼改成我的名字？,這是針對「剛買了二手屋，水費單的名字還是前屋主，要怎麼改成我的名字？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
12,房子要空著半年沒人住，不想一直繳基本費，可以先暫停供水嗎？,這是針對「房子要空著半年沒人住，不想一直繳基本費，可以先暫停供水嗎？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
13,水的硬度太高會有茶垢，法規標準是多少才算合格？,這是針對「水的硬度太高會有茶垢，法規標準是多少才算合格？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
14,發現鄰居好像私接水管偷水，我要去哪裡檢舉？會保密嗎？,這是針對「發現鄰居好像私接水管偷水，我要去哪裡檢舉？會保密嗎？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
15,我是職業軍人的太太，家裡的水費有打折嗎？需要準備什麼文件？,這是針對「我是職業軍人的太太，家裡的水費有打折嗎？需要準備什麼文件？」的專業 AI 回答。我們運用了 Hybrid Search 檢索 qa_data.txt，並透過 Rerank 優化排序，最後由 LLM 生成此結果。,0.95,0.92,0.88,0.91,0.89
